"X1";"name";"recipe"
1;"Owsianka śliwkowa";"1. Płatki wymieszaj z jogurtem i cukrem kokosowym.
2. Ozdób śliwkami i posiekanymi orzechami, oprósz cynamonem."
2;"Woda mineralna";NA
3;"Koktajl z dyni i banana";"1. Wszystkie składniki razem zblenduj."
4;"Rolada z kurczaka ze szpinakiem";"1. Mięso zmiel w maszynce, razem z cebulą i czosnkiem.
2. Natkę pietruszki posiekaj.
3. Mięso wymieszaj z jajem i przyprawami.
4. Połowę mięsa zblenduj ze szpinakiem.
5. Na papierze do pieczenia rozłóż część mięsa bez szpinaku, a następnie część ze szpinakiem.
6. Zwiń papier w cukierka. 
7. Piecz w piekarniku przez około 30 minut w temperaturze 180°C."
5;"Brokuły";"1. Brokuły ugotuj w wodzie lub na parze. 
2. Posyp płatkami migdałowymi."
6;"Zupa krem z batata i buraków";"1. Buraki i bataty obierz i pokrój w kostkę.
2. Buraki i włoszczyznę gotuj w wodzie na wolnym ogniu, do momentu, aż będą miękkie.
3. W tym samym czasie na maśle klarowanym zeszklij cebulę i czosnek.
4. Przełóż cebulę i czosnek do garnka, zblenduj i przypraw solą oraz pieprzem. 
5. Podawaj z posiekaną natką pietruszki."
7;"Kanapka z pastą z awokado i suszonych pomidorów";"1. Awokado, suszone pomidory, oliwę i przyprawy zblenduj.
2. Smaruj pastę na chleb."
8;"Marchewkowy omlet";"1. Marchew zetrzyj na tarce i zblenduj z jajem oraz mąką kokosową na gładką masę.
2. Wymieszaj masę z przyprawami.
3. Rozgrzej olej na patelni.
4. Wylej masę jajeczną i smaż z dwóch stron pod przykryciem."
9;"Ciasteczka daktylowe";"1. Daktyle i orzechy zalej wodą i odstaw na 15 minut.
2. Wszystkie składniki zblenduj, formuj ciasteczka i włóż do lodówki na minimum 1 godzinę."
10;"Kurczak cytrynowy";"1. Mięso oprósz przyprawami, posyp skórką z cytryny i skrop sokiem z cytryny.
2. Piecz pod przykryciem w piekarniku rozgrzanym do 190°C przez około 30 minut."
11;"Ziemniaki";"1. Ziemniaki ugotuj w posolonej wodzie."
12;"Puree brokułowe";"1. Brokuły ugotuj i zblenduj z dodatkiem oliwy."
13;"Krem z kalarepy";"1. Por pokrój w plastry i podsmaż w garnku na rozgrzanym oleju.
2. Dodaj pozostałe warzywa pokrojone w kostkę, zalej je wodą i gotuj do miękkości.
3. Na koniec dodaj przyprawy i zblenduj, gotuj jeszcze przez 5 minut.
4. Podawaj z posiekaną natką pietruszki."
14;"Sałatka z awokado i suszonymi pomidorami";"1. Kaszę ugotuj według przepisu na opakowaniu.
2. Awokado pokrój w drobną kostkę, suszone pomidory posiekaj razem z natką.
3. Wszystkie składniki wymieszaj, oprósz przyprawami."
15;"Budyń malinowy z jagodami goji";"1. Ryż ugotuj według przepisu na opakowaniu.
2. Do naczynia wrzuć ryż, mleczko, maliny, cukier i zblenduj.
3. Ozdób jagodami goji."
16;"Koktajl z awokado";"1. Mleko, banana i awokado zblenduj. 
2. Dodaj jagody goji i wymieszaj."
17;"Polędwiczki wieprzowe";"1. Polędwiczkę natrzyj przyprawami i posiekanym czosnkiem.
2. Włóż do naczynia żaroodpornego i obłóż cebulą.
3. Piecz pod przykryciem przez 30 minut w 190°C."
18;"Puree z dyni";"1. Dynie upiecz w piekarniku do miękkości i zblenduj.
2. Dodaj oliwę, starty imbir, przyprawy i wymieszaj."
19;"Makaron";"1. Makaron ugotuj według przepisu na opakowaniu. 
2. Wymieszaj z puree z dyni.
3. Podawaj z polędwiczkami."
20;"Bakalie";NA
21;"Sałatka z kurczakiem";"1. Mięso pokrój w kostkę, przypraw i podsmaż na rozgrzanym oleju.
2. Wymieszaj mięso z pozostałymi składnikami."
22;"Jaglanka z bananem i sosem orzechowym";"1. Kaszę ugotuj według przepisu na opakowaniu. 
2. Dodaj pokrojonego w plasterki banana. 
3. Z masła, syropu i soku z cytryny przygotuj sos i dodaj do jaglanki."
23;"Pieczywo";NA
24;"Pasta z oliwek";"1. Wszystkie składniki zblenduj na gładką pastę."
25;"Woda z limonką i miętą";"1. Skórkę limonki dobrze wyszoruj lub owoc obierz ze skórki.
2. Pokrój limonkę i imbir w plastry. Wyciśnij sok z owocu.
3. Wlej wodę mineralną, sok i dodaj plastry limonki, imbir oraz pieprz cayenne.
4. Możesz dodać kostki lodu."
26;"Zupa indyjska z rybą";"1. Łososia pokrój na kawałki, skrop sokiem z cytryny, oprósz solą, pieprzem i odstaw na kilka minut.
2. Imbir zetrzyj na tarce, czosnek przeciśnij przez praskę i podsmaż.
3. Brokuły podziel na różyczki, dodaj mleczko kokosowe, przyprawy i gotuj do miękkości. 
4. Dodaj łososia, czosnek, imbir i gotuj przez kilka minut.
5. Pod koniec gotowania dodaj pokrojone pomidorki i bazylię."
27;"Sałatka z kaszą jaglaną";"1. Kaszę ugotuj według przepisu na opakowaniu. 
2. Pomidorki przekrój na połówki, szczypiorek posiekaj, oliwki pokrój w plasterki.
3. Połącz wszystkie składniki."
28;"Owsianka z gruszką";"1. Płatki owsiane ugotuj na mleku według przepisu na opakowaniu. 
2. Gruszkę pokrój w kostkę. 
3. Dodaj do płatków wraz z pozostałymi składnikami."
29;"Herbata";NA
30;"Zielony koktajl ze szpinakiem";"1. Obierz kiwi i awokado.
2. Zbleduj wszystkie składniki."
31;"Kulki wołowe z piekarnika";"1. Mięso zmiel wymieszaj z jajkiem i przyprawami. 
2. Cebulę i imbir drobno posiekaj i dodaj do mięsa.
3. Z masy uformuj kulki i podsmaż na patelni. 
4. Przełóż kulki do naczynia żaroodpornego i piecz w 180°C przez około 20 minut, podlewając co jakiś czas wodą."
32;"Kasza gryczana";"1. Kaszę ugotuj według przepisu na opakowaniu."
33;"Sałatka z ogórków kiszonych";"1. Cebulę i ogórka pokrój w kostkę.
2. Połącz wszystkie składniki."
34;"Czekoladowy deser z kaszą gryczaną";"1. Kaszę ugotuj według przepisu na opakowaniu. 
2. Daktyle zalej gorącą wodą i odstaw na 10 minut.
3. Czekoladę rozpuść w kąpieli wodnej. 
4. Kaszę zblenduj z dodatkiem mleka, czekolady i daktyli."
35;"Sałatka z kurczakiem, awokado i ogórkiem";"1. Mięso pokrój w drobną kostkę, oprósz solą, pieprzem i podsmaż. 
2. Obierz awokado i świeżego ogórka. 
3. Ogórki i awokado pokrój w kostkę. 
4. Z musztardy, soku z cytryny i miodu przygotuj dressing. 
5. Na talerzu ułóż liście szpinaku. 
6. Dodaj kurczaka, awokado, ogórki i polej sałatkę dressingiem."
36;"Jajeczny wrap z warzywami";"1. Szczypiorek drobno posiekaj, awokado i oliwki pokrój w plastry, a paprykę i ogórka w słupki. 
2. Jaja wymieszaj ze szczypiorkiem, wodą i przyprawami. 
3. Usmaż cienkie jajeczne placki. 
4. Ułóż na nich pozostałe składniki i zwiń."
37;"Koktajl gruszkowy";"1. Gruszkę obierz i usuń nasiona.
2. Zblenduj wszystkie składniki."
38;"Jaglane burgery ze szpinakiem";"1. Kaszę ugotuj według przepisu na opakowaniu. 
2. Ciecierzycę ugotuj do miękkości. 
3. Cebulę i czosnek drobno posiekaj i podsmaż. 
4. Szpinak odsącz z wody i dodaj cebulę i czosnek. 
5. Ciecierzycę rozgnieć widelcem i dodaj do niej masę ze szpinakiem.
6. Zmiel płatki owsiane, siemię lniane i dodaj do masy. 
7. Dodaj przyprawy i odstaw na 10-15 minut. 
8. Uformuj kotlety i ułóż na blaszce wyłożonej papierem. 
9. Piecz w temperaturze 190°C przez około 25 minut."
39;"Pomidorki z bazylią";"1. Pomidorki przekrój na połówki, bazylię posiekaj. 
2. Połącz wszystkie składniki."
40;"Deser jaglany a'la bounty";"1. Kaszę ugotuj na mleku i wodzie według przepisu na opakowaniu.
2. Pod koniec gotowania dodaj wiórki i cukier kokosowy. 
3. Zblenduj kaszę na gładką masę. 
4. Czekoladę rozpuść w kąpieli wodnej. 
5. Kokosową masę z kaszy przełóż do szklanki, polej roztopioną czekoladą."
41;"Jaja faszerowane pomidorami suszonymi i awokado";"1. Jaja ugotuj na twardo.
2. Przekrój je na pół i wyjmij żółtka.
3. Do miski wrzuć żółtka, miąższ awokado, pokrojone pomidory, słonecznik oraz przyprawy i zblenduj.
4. Farszem napełnij białka."
42;"Koktajl śliwkowy";"1. Śliwki zalej wrzątkiem i odstaw na ok. 10 minut.
2. Jabłko obierz i pokrój.
3. Zblenduj wszystkie składniki z dodatkiem mleka roślinnego."
43;"Nuggetsy";"1. Kurczaka pokrój w większą kostkę. 
2. Len wymieszaj z przyprawami, jajko roztrzep.
3. Kawałki kurczaka maczaj w roztrzepanym jajku i panierce z lnu.
4. Piecz w piekarniku przez 25 minut w 190°C.
5. Podaj z surówką."
44;"Surówka z kapusty";"1. Posiekaj drobno kapustę i włóż do miski.
2. Rzodkiewki pokrój w plasterki, posiekaj szczypiorek i natkę i dodaj do kapusty. 
3. Olej wymieszaj z sokiem z cytryny, solą i pieprzem.
4. Wymieszaj sałatkę z dressingiem."
45;"Kefir";NA
46;"Kasza gryczana ze szpinakiem i suszonymi pomidorami";"1. Kaszę gryczaną ugotuj według instrukcji na opakowaniu. 
2. Do kaszy dodaj bazylię oraz sól.
3. Na patelni na maśle podsmaż posiekaną cebulę oraz czosnek. 
4. Dodaj posiekane suszone pomidory i szpinak i smaż przez kilka minut.
6. Całą zawartość patelni wymieszaj z ugotowaną kaszą gryczaną."
47;"Budyń z komosy ryżowej";"1. Ugotuj komosę ryżową według przepisu na opakowaniu.
2. Kiedy woda wyparuje dodaj mleko kokosowe i maliny i gotuj jeszcze przez chwilę.
3. Wszystkie składniki zblenduj, aż powstanie budyń.
4. Dodaj miód, cynamon, olej i jeszcze raz całość wymieszaj."
48;"Sorbet truskawkowy z migdałami";"1. Mrożone truskawki zblenduj, przełóż do miseczki i posyp platkami migdałowymi"
